ingredientId,displayName,category,hasTasteProfile,hasTextureProfile,hasFlavorProfile,currentTasteValuesJson,currentTextureEffectsJson,currentFlavorValuesJson,proposedTasteValuesJson,proposedTextureEffectsJson,proposedFlavorValuesJson,proposalMode,sourceNeeded,suggestedSourceKeywords,sourceNotes,confidence,reviewStatus,producerComment,aiComment,canApplyToRuntime,canAffectFinalScore,canAffectGoldenExpected,sourceStatus,draftStatus
tea_black,红茶,茶类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":10,""bitterness"":16,""freshness"":6,""heaviness"":2,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""classic""],""tea"":24,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":0,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":38,""aromaTags"":[""malty"",""classic"",""roasted""],""beverageFit"":92,""dessertFit"":62,""dominantPotential"":48,""flavorFamilies"":[""tea""],""identityStrength"":58,""identityTags"":[""black_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":5,""pairHints"":[""dairy"",""brown_sugar"",""honey""],""savoryRisk"":5}","{""acidity"":0,""aromaImpact"":45,""bitterness"":42,""freshness"":20,""heaviness"":10,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""classic""],""tea"":65,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":0,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":48,""aromaTags"":[""malty"",""classic"",""roasted""],""beverageFit"":92,""dessertFit"":62,""dominantPotential"":52,""flavorFamilies"":[""tea""],""identityStrength"":62,""identityTags"":[""black_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":5,""pairHints"":[""dairy"",""brown_sugar"",""honey""],""savoryRisk"":5}",scale_recalibrated_v0_0_8_14_review_only,TRUE,black tea pH bitterness tannin caffeine flavor profile milk tea,参考茶化学综述：红茶经氧化形成较深色和较强茶感，茶多酚 / 咖啡因支持苦感、涩感和茶香基线；当前 tea / bitterness / roasted-malty 方向合理，但仍需制作人确认奶茶语境中的强度。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile 作为第一轮参考基线；不因旧分数或 golden 反推调整。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
tea_green,绿茶,茶类,TRUE,TRUE,TRUE,"{""acidity"":2,""aromaImpact"":8,""bitterness"":12,""freshness"":18,""heaviness"":0,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""fresh""],""tea"":22,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":0,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":34,""aromaTags"":[""grassy"",""fresh"",""light""],""beverageFit"":90,""dessertFit"":48,""dominantPotential"":46,""flavorFamilies"":[""tea"",""fresh""],""identityStrength"":55,""identityTags"":[""green_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":8,""pairHints"":[""citrus"",""sparkling"",""honey""],""savoryRisk"":8}","{""acidity"":5,""aromaImpact"":38,""bitterness"":32,""freshness"":65,""heaviness"":0,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""fresh""],""tea"":60,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":0,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":42,""aromaTags"":[""grassy"",""fresh"",""light""],""beverageFit"":90,""dessertFit"":48,""dominantPotential"":50,""flavorFamilies"":[""tea"",""fresh""],""identityStrength"":58,""identityTags"":[""green_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":8,""pairHints"":[""citrus"",""sparkling"",""honey""],""savoryRisk"":8}",scale_recalibrated_v0_0_8_14_review_only,TRUE,green tea pH bitterness catechins freshness milk tea,参考茶化学综述：绿茶保留较多儿茶素，常见清鲜、草本、轻苦涩方向；当前 freshness / tea / mild bitterness 方向符合资料基线，需后续制作人口味校准。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,当前数值作为 source-referenced baseline；后续重点看清爽偏苦是否误伤真实绿茶。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
tea_oolong,乌龙茶,茶类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":14,""bitterness"":14,""freshness"":10,""heaviness"":4,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""premium""],""tea"":24,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":1,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":44,""aromaTags"":[""roasted"",""floral"",""premium""],""beverageFit"":92,""dessertFit"":58,""dominantPotential"":52,""flavorFamilies"":[""tea""],""identityStrength"":62,""identityTags"":[""oolong_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":8,""pairHints"":[""dairy"",""cream"",""brown_sugar""],""savoryRisk"":6}","{""acidity"":0,""aromaImpact"":55,""bitterness"":36,""freshness"":32,""heaviness"":18,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""premium""],""tea"":62,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":1,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":58,""aromaTags"":[""roasted"",""floral"",""premium""],""beverageFit"":92,""dessertFit"":58,""dominantPotential"":58,""flavorFamilies"":[""tea""],""identityStrength"":68,""identityTags"":[""oolong_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":8,""pairHints"":[""dairy"",""cream"",""brown_sugar""],""savoryRisk"":6}",scale_recalibrated_v0_0_8_14_review_only,TRUE,oolong tea roast bitterness tannin aroma milk tea,参考茶化学与乌龙加工常识：乌龙介于绿茶与红茶之间，带焙火 / 花香 / 茶感，苦涩与香气均可中等偏强；当前 aromaImpact / tea / roasted-floral 方向可保留。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；后续需要制作人判断乌龙是否应比红茶更香而不更苦。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
tea_jasmine,茉莉茶,茶类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":16,""bitterness"":8,""freshness"":16,""heaviness"":0,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""floral""],""tea"":18,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":0,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":48,""aromaTags"":[""floral"",""bright"",""fresh""],""beverageFit"":90,""dessertFit"":52,""dominantPotential"":54,""flavorFamilies"":[""tea"",""floral""],""identityStrength"":65,""identityTags"":[""jasmine_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":10,""pairHints"":[""citrus"",""lychee"",""honey""],""savoryRisk"":8}","{""acidity"":0,""aromaImpact"":65,""bitterness"":24,""freshness"":60,""heaviness"":0,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""floral""],""tea"":50,""textureRisk"":false,""viscosity"":0,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":0,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":68,""aromaTags"":[""floral"",""bright"",""fresh""],""beverageFit"":90,""dessertFit"":52,""dominantPotential"":62,""flavorFamilies"":[""tea"",""floral""],""identityStrength"":72,""identityTags"":[""jasmine_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":10,""pairHints"":[""citrus"",""lychee"",""honey""],""savoryRisk"":8}",scale_recalibrated_v0_0_8_14_review_only,TRUE,jasmine tea floral aroma bitterness tannin beverage profile,参考茶与花香窨制方向：茉莉茶以花香和清爽感为核心，苦感通常不应压过花香；当前 floral / freshness / moderate tea baseline 合理。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；后续重点校准花香压制力和清爽度。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
tea_puer,普洱茶,茶类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":18,""bitterness"":18,""freshness"":0,""heaviness"":10,""isHighFat"":false,""isStrongAroma"":true,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""earthy""],""tea"":28,""textureRisk"":false,""viscosity"":2,""weirdness"":4,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":2,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":58,""aromaTags"":[""earthy"",""fermented"",""deep""],""beverageFit"":78,""dessertFit"":42,""dominantPotential"":62,""flavorFamilies"":[""tea"",""earthy""],""identityStrength"":72,""identityTags"":[""puer_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":22,""pairHints"":[""dairy"",""brown_sugar"",""oat""],""savoryRisk"":18}","{""acidity"":0,""aromaImpact"":68,""bitterness"":52,""freshness"":-6,""heaviness"":42,""isHighFat"":false,""isStrongAroma"":true,""milkiness"":0,""strawResistance"":0,""sweetness"":0,""tags"":[""tea"",""earthy""],""tea"":70,""textureRisk"":false,""viscosity"":10,""weirdness"":18,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":2,""fatLoad"":0,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":70,""aromaTags"":[""earthy"",""fermented"",""deep""],""beverageFit"":78,""dessertFit"":42,""dominantPotential"":68,""flavorFamilies"":[""tea"",""earthy""],""identityStrength"":78,""identityTags"":[""puer_tea""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":22,""pairHints"":[""dairy"",""brown_sugar"",""oat""],""savoryRisk"":18}",scale_recalibrated_v0_0_8_14_review_only,TRUE,puer tea earthy fermented bitterness tannin mouthfeel milk tea,参考茶化学和发酵茶方向：普洱常见发酵、土壤、陈香、厚重和苦涩感；当前 earthy / heaviness / strong tea direction 合理，但强度需要人工确认。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；注意它可能是偏好型强身份，不应简单等同事故。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
dairy_milk,牛奶,乳类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":4,""bitterness"":0,""freshness"":0,""heaviness"":10,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":24,""strawResistance"":0,""sweetness"":4,""tags"":[""dairy""],""tea"":0,""textureRisk"":false,""viscosity"":5,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":1,""fatLoad"":12,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":24,""aromaTags"":[""creamy"",""mild""],""beverageFit"":88,""dessertFit"":72,""dominantPotential"":28,""flavorFamilies"":[""dairy""],""identityStrength"":42,""identityTags"":[""milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":4,""pairHints"":[""tea"",""coffee"",""cocoa""],""savoryRisk"":8}","{""acidity"":0,""aromaImpact"":4,""bitterness"":0,""freshness"":0,""heaviness"":24,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":45,""strawResistance"":0,""sweetness"":12,""tags"":[""dairy""],""tea"":0,""textureRisk"":false,""viscosity"":10,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":2,""fatLoad"":18,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":24,""aromaTags"":[""creamy"",""mild""],""beverageFit"":88,""dessertFit"":72,""dominantPotential"":28,""flavorFamilies"":[""dairy""],""identityStrength"":42,""identityTags"":[""milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":4,""pairHints"":[""tea"",""coffee"",""cocoa""],""savoryRisk"":8}",scale_recalibrated_v0_0_8_14_review_only,TRUE,whole milk fat content lactose sweetness mouthfeel dairy flavor,参考 USDA FoodData Central 乳品成分：牛奶含乳糖、蛋白和乳脂，支持轻甜、乳感、轻脂肪负载与顺滑口感；当前 milkiness / fatLoad baseline 合理。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；后续可按全脂 / 低脂版本拆数据，但本轮不创建新原料。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
dairy_thick_milk,厚乳,乳类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":8,""bitterness"":0,""freshness"":-8,""heaviness"":28,""isHighFat"":true,""isStrongAroma"":false,""milkiness"":30,""strawResistance"":0,""sweetness"":8,""tags"":[""dairy"",""highFat""],""tea"":0,""textureRisk"":true,""viscosity"":12,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":8,""fatLoad"":38,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":38,""aromaTags"":[""creamy"",""rich"",""milky""],""beverageFit"":82,""dessertFit"":82,""dominantPotential"":42,""flavorFamilies"":[""dairy""],""identityStrength"":55,""identityTags"":[""thick_milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":8,""pairHints"":[""black_tea"",""oolong"",""brown_sugar""],""savoryRisk"":8}","{""acidity"":0,""aromaImpact"":8,""bitterness"":0,""freshness"":-18,""heaviness"":58,""isHighFat"":true,""isStrongAroma"":false,""milkiness"":70,""strawResistance"":0,""sweetness"":18,""tags"":[""dairy"",""highFat""],""tea"":0,""textureRisk"":true,""viscosity"":28,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":14,""fatLoad"":58,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":38,""aromaTags"":[""creamy"",""rich"",""milky""],""beverageFit"":82,""dessertFit"":82,""dominantPotential"":42,""flavorFamilies"":[""dairy""],""identityStrength"":55,""identityTags"":[""thick_milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":8,""pairHints"":[""black_tea"",""oolong"",""brown_sugar""],""savoryRisk"":8}",scale_recalibrated_v0_0_8_14_review_only,TRUE,evaporated milk milk solids fat content mouthfeel milk tea,参考浓缩乳 / evaporated milk 食品成分方向：乳固体和乳脂相对集中，口感更厚、更奶、更甜感；当前 high milkiness / heaviness / fatLoad 方向合理。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；后续需制作人确认厚乳是否更接近奶香增强还是脂肪负担。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
dairy_cream,淡奶油,乳类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":8,""bitterness"":0,""freshness"":-12,""heaviness"":32,""isHighFat"":true,""isStrongAroma"":false,""milkiness"":24,""strawResistance"":0,""sweetness"":12,""tags"":[""dairy"",""highFat""],""tea"":0,""textureRisk"":true,""viscosity"":14,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":12,""fatLoad"":48,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":44,""aromaTags"":[""creamy"",""rich"",""buttery""],""beverageFit"":72,""dessertFit"":90,""dominantPotential"":45,""flavorFamilies"":[""dairy"",""dessert""],""identityStrength"":58,""identityTags"":[""cream""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":10,""pairHints"":[""berry"",""cocoa"",""coffee""],""savoryRisk"":10}","{""acidity"":0,""aromaImpact"":8,""bitterness"":0,""freshness"":-24,""heaviness"":70,""isHighFat"":true,""isStrongAroma"":false,""milkiness"":64,""strawResistance"":0,""sweetness"":16,""tags"":[""dairy"",""highFat""],""tea"":0,""textureRisk"":true,""viscosity"":36,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":18,""fatLoad"":82,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":55,""aromaTags"":[""creamy"",""rich"",""buttery""],""beverageFit"":72,""dessertFit"":90,""dominantPotential"":55,""flavorFamilies"":[""dairy"",""dessert""],""identityStrength"":65,""identityTags"":[""cream""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":10,""pairHints"":[""berry"",""cocoa"",""coffee""],""savoryRisk"":10}",scale_recalibrated_v0_0_8_14_review_only,TRUE,heavy cream fat content viscosity mouthfeel dairy beverage,参考 USDA FoodData Central heavy cream：高乳脂支持明显厚重、奶油香、fatLoad 和黏稠口感；当前 cream fatLoad / heaviness 方向合理。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；它会影响油腻负担，但不应直接等同低可饮用性。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
dairy_coconut_milk,椰奶,乳类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":12,""bitterness"":0,""freshness"":6,""heaviness"":8,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":18,""strawResistance"":0,""sweetness"":6,""tags"":[""dairy"",""tropical""],""tea"":0,""textureRisk"":false,""viscosity"":4,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":3,""fatLoad"":20,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":48,""aromaTags"":[""coconut"",""creamy"",""tropical""],""beverageFit"":82,""dessertFit"":78,""dominantPotential"":54,""flavorFamilies"":[""dairy"",""tropical""],""identityStrength"":64,""identityTags"":[""coconut_milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":14,""pairHints"":[""mango"",""pineapple"",""coffee""],""savoryRisk"":8}","{""acidity"":0,""aromaImpact"":35,""bitterness"":0,""freshness"":18,""heaviness"":32,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":50,""strawResistance"":0,""sweetness"":18,""tags"":[""dairy"",""tropical""],""tea"":0,""textureRisk"":false,""viscosity"":18,""weirdness"":0,""worksInFreshDrinks"":true}","{""chewiness"":0,""drinkabilityPenalty"":8,""fatLoad"":42,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":0,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":60,""aromaTags"":[""coconut"",""creamy"",""tropical""],""beverageFit"":82,""dessertFit"":78,""dominantPotential"":60,""flavorFamilies"":[""dairy"",""tropical""],""identityStrength"":70,""identityTags"":[""coconut_milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":14,""pairHints"":[""mango"",""pineapple"",""coffee""],""savoryRisk"":8}",scale_recalibrated_v0_0_8_14_review_only,TRUE,coconut milk fat content viscosity sweetness tropical flavor beverage,参考 USDA FoodData Central coconut milk 与椰乳成分：椰奶有植物脂肪、椰香和热带身份，质地可比水更厚；当前 coconut / tropical / moderate fatLoad 方向合理。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；后续需分清椰奶香气身份和奶脂油腻事故。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
dairy_oat_milk,燕麦奶,乳类,TRUE,TRUE,TRUE,"{""acidity"":0,""aromaImpact"":4,""bitterness"":0,""freshness"":0,""heaviness"":8,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":16,""strawResistance"":0,""sweetness"":4,""tags"":[""dairy"",""plant""],""tea"":0,""textureRisk"":false,""viscosity"":5,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":4,""fatLoad"":16,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":4,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":30,""aromaTags"":[""grain"",""mild"",""nutty""],""beverageFit"":78,""dessertFit"":62,""dominantPotential"":34,""flavorFamilies"":[""dairy"",""grain""],""identityStrength"":48,""identityTags"":[""oat_milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":12,""pairHints"":[""coffee"",""black_tea"",""caramel""],""savoryRisk"":12}","{""acidity"":0,""aromaImpact"":20,""bitterness"":0,""freshness"":0,""heaviness"":28,""isHighFat"":false,""isStrongAroma"":false,""milkiness"":38,""strawResistance"":0,""sweetness"":14,""tags"":[""dairy"",""plant""],""tea"":0,""textureRisk"":false,""viscosity"":18,""weirdness"":0,""worksInFreshDrinks"":false}","{""chewiness"":0,""drinkabilityPenalty"":8,""fatLoad"":24,""foamLayer"":0,""gelSoftness"":0,""liquidSupportNeed"":0,""pasteRisk"":0,""sediment"":10,""solidLoad"":0,""strawResistance"":0}","{""aromaPressure"":30,""aromaTags"":[""grain"",""mild"",""nutty""],""beverageFit"":78,""dessertFit"":62,""dominantPotential"":34,""flavorFamilies"":[""dairy"",""grain""],""identityStrength"":48,""identityTags"":[""oat_milk""],""metadata"":{""readonly"":true,""schemaVersion"":""ingredientFlavorProfile.v0.0.6.7"",""sourceLayer"":""flavor"",""weightsEnabled"":false},""noveltyRisk"":12,""pairHints"":[""coffee"",""black_tea"",""caramel""],""savoryRisk"":12}",scale_recalibrated_v0_0_8_14_review_only,TRUE,oat milk viscosity sweetness cereal flavor mouthfeel beverage,参考 USDA FoodData Central oat milk 与燕麦饮料成分：燕麦基底带谷物香、轻甜、一定黏度和悬浮感；当前 grain / mild milkiness / sediment direction 合理。 v0.0.8.14 scale recalibration: proposed values now use a clearer 0-100 review scale; current* remains runtime snapshot.,medium,needs_producer_review,,保留现有 profile；后续需制作人评审燕麦粉感是否应提高。 按制作人确认的新标尺重校准 proposed 值；仍需制作人 review，不接 runtime。,FALSE,FALSE,FALSE,source_referenced_first_pass,draft_scale_recalibration_review_only_not_runtime
